"","subject","catalog_number","name_of_class","term","start_date","timestamp","census_date","total_of_enrollments"
"218","MATH","3000","Intro to Abstract Math","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"219","MATH","3191","Applied Linear Algebra","Spring 2019",2019-01-22,2018-11-05,2019-02-11,5
"220","MATH","3195","Linear Algebra Diff Equations","Spring 2019",2019-01-22,2018-11-05,2019-02-11,1
"221","MATH","3200","Elementary Diff Equations","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"222","MATH","3382","Statistical Theory","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"223","MATH","3440","Intro to Symbolic Logic","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"224","MATH","3800","Probablty-Statistcs Engineers","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"225","MATH","4010","History of Mathematics","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"226","MATH","4027","Topics in Mathematics","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"227","MATH","4110","Theory of Numbers","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"228","MATH","4310","Intro to Real Analysis I","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"229","MATH","4320","Intro Real Analysis II","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"230","MATH","4387","Applied Regression Analysis","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"231","MATH","4390","Game Theory","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"232","MATH","4408","Applied Graph Theory","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"233","MATH","4450","Complex Variables","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"234","MATH","4650","Numerical Analysis I","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"235","MATH","4660","Numerical Analysis II","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"236","MATH","4733","Partial Differential Equations","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"237","MATH","4779","Math Clinic","Spring 2019",2019-01-22,2018-11-05,2019-02-11,1
"238","MATH","4810","Probability","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"239","MATH","4830","Applied Statistics","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"240","MATH","5010","History of Mathematics","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"241","MATH","5027","Topics in Applied Mathematics","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"242","MATH","5070","Applied Analysis","Spring 2019",2019-01-22,2018-11-05,2019-02-11,1
"243","MATH","5110","Theory of Numbers","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"244","MATH","5320","Intro Mathematical Statistics","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"245","MATH","5387","Applied Regression Analysis","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"246","MATH","5390","Game Theory","Spring 2019",2019-01-22,2018-11-05,2019-02-11,1
"247","MATH","5490","Network Flows","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"248","MATH","5661","Numerical Analysis II","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"249","MATH","5718","Applied Linear Algebra","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"250","MATH","5733","Partial Differential Equations","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"251","MATH","5779","Math Clinic","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"252","MATH","5830","Applied Statistics","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"253","MATH","6330","Statistical Consulting","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"254","MATH","6595","Comput Meth Non-Linear Prog","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"255","MATH","7132","Functional Analysis","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"256","MATH","7393","Bayesian Statistics","Spring 2019",2019-01-22,2018-11-05,2019-02-11,1
"257","MATH","7405","Advanced Graph Theory","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"258","MATH","7594","Integer Programming","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"259","MATH","7823","Topics in Discrete Math","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"260","MATH","8660","Math Finite Element Mthds","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"261","MATH","1010","Math for Liberal Arts","Spring 2019",2019-01-22,2018-11-06,2019-02-11,1
"262","MATH","1070","College Algebra for Business","Spring 2019",2019-01-22,2018-11-06,2019-02-11,1
"263","MATH","1110","College Algebra","Spring 2019",2019-01-22,2018-11-06,2019-02-11,0
"264","MATH","1120","College Trigonometry","Spring 2019",2019-01-22,2018-11-06,2019-02-11,0
"265","MATH","1130","Precalculus Mathematics","Spring 2019",2019-01-22,2018-11-06,2019-02-11,4
"266","MATH","1401","Calculus I","Spring 2019",2019-01-22,2018-11-06,2019-02-11,14
"267","MATH","2411","Calculus II","Spring 2019",2019-01-22,2018-11-06,2019-02-11,3
"268","MATH","2421","Calculus III","Spring 2019",2019-01-22,2018-11-06,2019-02-11,0
"269","MATH","2830","Introductory Statistics","Spring 2019",2019-01-22,2018-11-06,2019-02-11,2
"270","MATH","3000","Intro to Abstract Math","Spring 2019",2019-01-22,2018-11-06,2019-02-11,0
"271","MATH","3191","Applied Linear Algebra","Spring 2019",2019-01-22,2018-11-06,2019-02-11,5
"272","MATH","3195","Linear Algebra Diff Equations","Spring 2019",2019-01-22,2018-11-06,2019-02-11,1
